id,auteur_id,titre_original,titre_francais,titre_anglais,langue_originale,dans_classeur_lea,original_sur_git,traduction_anglaise_sur_git,traduction_francaise_sur_git,traduction_italienne_sur_git,note
33,20,Cynegetica,Cynegetica,Cynegetica,latin,Oui,Non,Non,Non,Non,
34,21,Ἱστορία,Histoires,History,grec,Oui,Oui,Oui,Oui,Oui,
35,22,Ἔργα καὶ ἡμέραι,Les travaux et les jours,Works and Days,grec,Oui,Oui,Oui,Non,Non,
36,23,Hippiatrica,Hippiatrique,Hippiatrica,latin,Oui,Oui,Non,Non,Non,
37,24,Περὶ διαίτης ὀξέω,Du régime des maladies aiguës,On Regim,grec,Oui,Oui,Oui,Oui,Non,"2026-09-07 : le fichier grec etait en realite tlg0627.tlg005 (Acut. sp., apocryphe) alors que le francais/anglais traduisent l'oeuvre authentique tlg0627.tlg004 - remplace par le vrai texte grec tlg004 (18 sections, canonical-greekLit grc2). Le contenu apocryphe deplace vers une nouvelle oeuvre (voir zoo24/3)."
38,25,Etymologiae,Étymologies,Etymologies,latin,Oui,Non,Non,Non,Non,
39,26,Dipsades,Sur les dipsades,Dipsads,grec,Oui,Oui,Oui,Oui,Non,
40,26,De sacrificiis,Sur les sacrifices,On sacrifices,grec,Oui,Oui,Oui,Oui,Non,
41,27,Cynegetica,Les cynégétiques,Cynegetica,latin,Oui,Non,Non,Non,Non,
42,27,De aucupio,Sur la capture des oiseaux,On Bird-catching,latin,Oui,Non,Non,Non,Non,
43,28,Θηριακά,Les thériaques,On Venomous Animals,grec,Oui,Oui,Oui,Non,Non,
44,29,῾Αλιευτικά,Halieutiques,Halieutica,grec,Oui,Oui,Oui,Non,Non,
45,30,Κυνηγετικά,Cynégétique,Cynegetica,grec,Oui,Oui,Oui,Non,Non,
46,31,Halieutica,Halieutiques,Halieutica,latin,Oui,Non,Non,Non,Non,
47,32,Fabulae,Fables,Fables,latin,Oui,Non,Oui,Non,Non,"VERIFICATION STRUCTURELLE (07/2026, mise a jour) : l'ancienne traduction (Smart, Perseus perseus-eng1) etait incomplete (32/132 fables). Remplacee par phaedrus_fables_eng_tei.xml (Riley + Smart combines, Gutenberg #25512), couverture complete. Traduction en PROSE litterale, non alignee vers-a-vers avec l'original latin (1943 <l> cote latin, quasi aucun cote traduction) -- meme situation que Semonide (oeuvre id=70), alignement automatique impossible."
48,69,Περὶ ἀφθαρσίας κόσμου,Sur l'éternité du monde,On the eternity of the world,grec,Oui,Oui,Oui,Non,Non,
49,69,περί γεωργίας,Sur l’agriculture,On husbandry,grec,Oui,Oui,Oui,Non,Non,
50,69,Περι Φυτουργιας Νωε Το Δευτερον,Sur l’oeuvre de Noé comme planteur,Concerning Noah's Work as a Planter,grec,Oui,Oui,Oui,Non,Non,
51,69,Περὶ τοῦ θεοπέμπτους εἴναι τοὺς ὀνείρους,Des songes,On dreams,grec,Oui,Oui,Oui,Non,Non,
52,70,De venenatis animalibus eorumque remediis,Sur les animaux venimeux et leurs remèdes,On Venomous Animals and their Remedies,grec,Oui,Oui,Non,Non,Non,
53,71,Physiologus,Physiologus (redaction I),Physiologus,grec,Oui,Oui,Non,Non,Non,
54,71,Physiologus,"Physiologus (redaction II, byzantine)",Physiologus,grec,Oui,Oui,Non,Non,Non,
55,71,Physiologus,"Physiologus (redaction III, pseudo-basilienne)",Physiologus,grec,Oui,Oui,Non,Non,Non,
57,75,Physiologus,Physiologus,Physiologus,latin,Oui,Oui,Non,Non,Non,
59,77,Physiologus,Physiologus,Physiologus,latin,Oui,Oui,Non,Non,Non,
60,42,Τίμαιος,Timée,Timaeus,grec,Oui,Oui,Oui,Oui,Oui,
61,43,Naturalis Historia,Histoire naturelle,Natural history,latin,Oui,Oui,Non,Non,Non,
62,44,Περί της εις τα έγγονα φιλοστοργίας,De l’amour de la progéniture,On affection for offsprings,grec,Oui,Oui,Oui,Non,Non,
63,44,Αίτια φυσικά,Questions naturelles,Causes of natural phenomena,grec,Oui,Oui,Oui,Oui,Non,
64,44,Πότερα τῶν ζῴων φρονιμώτερα τὰ χερσαῖα ἢ τὰ ἔνυδρα,L'intelligence des animaux,Whether Land or Sea Animals Are Cleverer,grec,Oui,Oui,Oui,Non,Non,
65,44,Περὶ τοῦ τὰ ἄλογα λόγῳ χρῆσθαι,Que les bêtes ont l'usage de la raison,Beasts are rationals,grec,Oui,Oui,Oui,Oui,Non,
66,44,Περὶ σαρκροφαγίας,Sur la consommation de viande,The eating of flesh,grec,Oui,Oui,Oui,Oui,Non," | DOUBLON FUSIONNE (07/2026) : AJOUT 07/2026 : traduction anglaise 'De Esu Carnium I et II' (Goodwin, Loeb Classical Library vol. XII, 1957, domaine public, via LacusCurtius). AUCUN TEXTE GREC ORIGINAL retrouve dans le corpus actuel (code Perseus attendu : tlg0007.tlg131, absent). A rechercher (Perseus/First1KGreek) pour permettre la verification structurelle. CORRECTION (07/2026) : originaux grecs retrouves et rattaches (tlg131=Livre I, tlg132=Livre II, precedemment mal attache a l'oeuvre 62 par erreur d'import anterieure). VERIFICATION DETAILLEE (07/2026) : originaux grecs tlg131+tlg132 combines = 15 div / 21 p au total ; traduction anglaise (encodage automatique) = 37 div / 211 p -- facteur ~10x sur les paragraphes. Pas une erreur de contenu, mais un ecart de granularite structurelle (l'IA a fragmente le texte en beaucoup plus de paragraphes que l'edition critique grecque). Non resolu -- necessiterait un reencodage avec des instructions de granularite plus larges, ou une restructuration manuelle du fichier traduit pour aligner le decoupage sur l'original."
