nom_fichier,code_zoo,nom_canonique,titre_original,etat,statut,langue,ancien_code,corpus
nemesianus_eng_tei.xml,zoo27/1e,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",Cynegetica,Partiel,Disponible,anglais,stoa0209,archive
nemesianus_haupt_tei.xml,zoo27/1l,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",Cynegetica,Partiel,Disponible,latin,stoa0209,archive
nemesianus_eclogae_eng_tei.xml,zoo27/3e,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",Eclogae,IA non relue,Disponible,anglais,stoa0209,archive
nemesianus_eclogae_lat_tei.xml,zoo27/3l,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",Eclogae,non audite,Disponible,latin,stoa0209,archive
nicander_theriaca_eng_IA.xml,zoo28/1e,NICANDER COLOPHONIUS,Θηριακά,Partiel,"Disponible - traduction Loeb 1928 (A. W. Mair, domaine public) via attalus.org, en remplacement du statut EN ATTENTE precedent qui visait l'edition Gow and Scholfield 1953 (non redistribuable)",anglais,tlg0022,archive
tlg0022.tlg001.1st1K-grc1.xml,zoo28/1g,NICANDER COLOPHONIUS,Θηριακά,Partiel,Disponible,grec,tlg0022,archive
nicander_alexipharmaca_eng_IA.xml,zoo28/2e,NICANDER COLOPHONIUS,Αλεξιφάρμακα,Partiel,"Disponible - traduction Loeb 1928 (A. W. Mair, domaine public) via attalus.org, en remplacement du statut EN ATTENTE precedent qui visait l'edition Gow and Scholfield 1953 (non redistribuable)",anglais,tlg0022,archive
tlg0022.tlg002.1st1K-grc1.xml,zoo28/2g,NICANDER COLOPHONIUS,Αλεξιφάρμακα,Partiel,Disponible,grec,tlg0022,archive
oppian_hal_eng_complet_tei.xml,zoo29/1e,OPPIANUS-1,῾Αλιευτικά,Partiel,Disponible,anglais,tlg0023,archive
tlg0023.tlg001.perseus-grc1.xml,zoo29/1g,OPPIANUS-1,῾Αλιευτικά,Partiel,Disponible,grec,tlg0023,archive
ambrose_hexaemeron_tei.xml,zoo3/1l,AMBROSIUS,Hexaemeron,Sans traduction anglaise,Disponible,latin,stoa0022,archive
ovide_halieutica_riley_eng_tei.xml,zoo31/1e,OVIDIUS,Halieutica,non audite,Disponible,anglais,stoa0216,archive
Publius_Ovidius_Halieutica_tei.xml,zoo31/1l,OVIDIUS,Halieutica,Partiel (50%),Disponible,latin,stoa0216,archive
8e.xml,zoo31/5e,OVIDIUS,Epistulae ex Ponto,non audite,Disponible,anglais,stoa0216,archive
8l.xml,zoo31/5l,OVIDIUS,Epistulae ex Ponto,Partiel (78%),Disponible,latin,stoa0216,archive
Antigonus_Mirabilia_tlg0568.001.xml,zoo4/1g,ANTIGONUS,Ἱστοριῶν παραδόξων συναγωγή,non audite,"ABANDONNE (licence TLG restreinte - remplace par zoo4/2g, edition Keller 1877 domaine public)",grec,tlg0568,absent
pline_animaux_eng_tei.xml,zoo43/1e,PLINIUS MAJOR,Naturalis Historia,Partiel,Disponible,anglais,phi0978,archive
Perseus_text_1999.02.0138_p5.xml,zoo43/1l,PLINIUS MAJOR,Naturalis Historia,Partiel (16%),Disponible,latin,phi0978,archive
plutarch_de_sollertia_animalium_eng.xml,zoo44/3e,PLUTARCHUS,Πότερα τῶν ζῴων φρονιμώτερα τὰ χερσαῖα ἢ τὰ ἔνυδρα,Partiel,Disponible,anglais,tlg0007,archive
tlg0007.tlg129.perseus-grc1.xml,zoo44/3g,PLUTARCHUS,Πότερα τῶν ζῴων φρονιμώτερα τὰ χερσαῖα ἢ τὰ ἔνυδρα,Partiel (97%),Disponible,grec,tlg0007,archive
porphyre_abstinence_book1_eng_tei.xml,zoo45/1e,PORPHYRIUS,Περὶ ἀποχῆς τῶν ἐμψύχων,Partiel,Disponible,anglais,tlg2034,archive
tlg2034.tlg003.1st1K-grc1.xml,zoo45/1g,PORPHYRIUS,Περὶ ἀποχῆς τῶν ἐμψύχων,Partiel (93%),Disponible,grec,tlg2034,archive
pseudo_dioscorides_alexipharmaca_eng.xml,zoo46/3e,PS-DIOSCORIDE,Alexipharmaca,IA non relue,Disponible,anglais,tlg1118,archive
Pseudo-Dioscorides Alexipharmaca (De venenis eorumque praecautione et medicatione)_tei.xml,zoo46/3g,PS-DIOSCORIDE,Alexipharmaca,Partiel (63%),Disponible,grec,tlg1118,archive
pseudo_dioscorides_theriaca_eng.xml,zoo46/4e,PS-DIOSCORIDE,Theriaca,IA non relue,Disponible,anglais,tlg1118,archive
"Pseudo-Dioscorides Theriaca (De iis, quae virus ejaculantur, animalibus libellus, in quo et de rabioso cane)_tei.xml",zoo46/4g,PS-DIOSCORIDE,Theriaca,Partiel (56%),Disponible,grec,tlg1118,archive
