zoo_id,auteur,periode,fichier,langue,titre
zoo43,PLINIUS MAJOR,antique (800 av. J.-C. - 300 ap. J.-C.),1l.xml,latin,Naturalis Historia
zoo44,PLUTARCHUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,De Amore Prolis
zoo44,PLUTARCHUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,De amore prolis
zoo44,PLUTARCHUS,antique (800 av. J.-C. - 300 ap. J.-C.),2g.xml,grec,Quaestiones Naturales
zoo44,PLUTARCHUS,antique (800 av. J.-C. - 300 ap. J.-C.),3e.xml,anglais,De Sollertia Animalium
zoo44,PLUTARCHUS,antique (800 av. J.-C. - 300 ap. J.-C.),3g.xml,grec,De sollertia animalium
zoo44,PLUTARCHUS,antique (800 av. J.-C. - 300 ap. J.-C.),4e.xml,anglais,Bruta Animalia Ratione Uti
zoo44,PLUTARCHUS,antique (800 av. J.-C. - 300 ap. J.-C.),4g.xml,grec,Περὶ τοῦ τὰ ἄλογα λόγῳ χρῆσθαι
zoo44,PLUTARCHUS,antique (800 av. J.-C. - 300 ap. J.-C.),5e.xml,anglais,On the Eating of Flesh
zoo44,PLUTARCHUS,antique (800 av. J.-C. - 300 ap. J.-C.),5g_1.xml,grec,De esu carnium II
zoo44,PLUTARCHUS,antique (800 av. J.-C. - 300 ap. J.-C.),7g.xml,grec,Quaestiones Naturales
zoo45,PORPHYRIUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Select Works of Porphyry
zoo45,PORPHYRIUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,De abstinentia
zoo46,PS-DIOSCORIDE,antique (800 av. J.-C. - 300 ap. J.-C.),3g.xml,grec,Alexipharmaca
zoo46,PS-DIOSCORIDE,antique (800 av. J.-C. - 300 ap. J.-C.),4g.xml,grec,Theriaca
zoo47,DENYS (pseudo),tardo-antique (300 - 700 ap. J.-C.),1g_1.xml,grec,Παράφρασις τῶν τοῦ Διονυσίου Ἰξευτικῶν
zoo47,DENYS (pseudo),tardo-antique (300 - 700 ap. J.-C.),1g_2.xml,grec,"Ixeuticon sive De aucupio, paraphrasis"
zoo48,SEMONIDES AMORGINUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Elegy and Iambus (Semonides only)
zoo48,SEMONIDES AMORGINUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Ἐλεγεῖα (Semonides)
zoo49,STRABO,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Geography
zoo49,STRABO,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Geography
zoo50,STRATO LAMPSACENUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Περὶ εὑρημάτων
zoo51,THEOMNESTOS,tardo-antique (300 - 700 ap. J.-C.),1g.xml,grec,Ἱππιατρικά (fragments)
zoo52,THEOPHRASTUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,De Signis Tempestatum
zoo52,THEOPHRASTUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Περί Σημείων Ὑδάτων και Pνευμάτων και Xειμώνων και Εὐδιών
zoo54,TIMOTHEUS GAZAEUS,tardo-antique (300 - 700 ap. J.-C.),1e.xml,anglais,"Timotheus of Gaza, On Animals"
zoo54,TIMOTHEUS GAZAEUS,tardo-antique (300 - 700 ap. J.-C.),1g_1.xml,grec,"Extraits et abreges de Timothee de Gaza, Sylloge"
zoo54,TIMOTHEUS GAZAEUS,tardo-antique (300 - 700 ap. J.-C.),1g_2.xml,grec,Fragmenta Timothei Gazaei
zoo54,TIMOTHEUS GAZAEUS,tardo-antique (300 - 700 ap. J.-C.),1g_3.xml,grec,Περὶ ζώων
zoo55,VARRO,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,De re rustica
zoo55,VARRO,antique (800 av. J.-C. - 300 ap. J.-C.),1l.xml,latin,De re rustica
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Economics from Works on Socrates
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),2e.xml,anglais,Minor Works (English). Machine readable text
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),2g.xml,grec,On the Cavalry Commander from Minor Works
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),3e.xml,anglais,On the Art of Horsemanship
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),3g.xml,grec,On the Art of Horsemanship from Minor Works
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),4e.xml,anglais,Minor Works (English). Machine readable text
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),4g.xml,grec,On Hunting from Minor Works
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),5e.xml,anglais,Minor Works (English). Machine readable text
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),5g.xml,grec,Agesilaus
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),6e.xml,anglais,Minor Works (English). Machine readable text
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),6g.xml,grec,Constitution of the Lacedaemonians
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),7e.xml,anglais,Minor Works (English). Machine readable text
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),7g.xml,grec,Hiero
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),8e.xml,anglais,Minor Works (English). Machine readable text
zoo57,XENOPHON,antique (800 av. J.-C. - 300 ap. J.-C.),8g.xml,grec,Ways and Means
zoo58,PETRUS GALLECUS,medieval (apres 700 ap. J.-C.),1l.xml,latin,Liber de animalibus
zoo60,CONRAD DE HALBERSTADT,medieval (apres 700 ap. J.-C.),1l.xml,latin,Liber similitudinum naturalium
zoo61,ENGELBERTUS ADMONTENSIS,medieval (apres 700 ap. J.-C.),1l.xml,latin,Engelbertus Admontensis Tractatus de naturis animalium
zoo62,IOHANNES DE CUBA,medieval (apres 700 ap. J.-C.),1e.xml,anglais,"The Noble Lyfe and Natures of Man, of Bestes, Serpentys, Fowles and Fisshes"
zoo62,IOHANNES DE CUBA,medieval (apres 700 ap. J.-C.),1l.xml,latin,Hortus Sanitatis - Tractatus de animalibus
zoo63,IOHANNES EGIDIUS ZAMORENSIS,medieval (apres 700 ap. J.-C.),1l.xml,latin,Historia naturalis
zoo64,IOHANNES DE SANCTO GEMINIANO,medieval (apres 700 ap. J.-C.),1l.xml,latin,Summa de exemplis ac similitudinibus rerum
zoo65,MARCUS DE URBE VETERI,medieval (apres 700 ap. J.-C.),1l.xml,latin,Marcus de Urbe Veteri Tractatus septiformis de moralitatibus rerum
zoo66,THOMAS CANTIMPRATENSIS,medieval (apres 700 ap. J.-C.),1l.xml,latin,"Liber de natura rerum, versions I-II"
zoo66,THOMAS CANTIMPRATENSIS,medieval (apres 700 ap. J.-C.),2l.xml,latin,"Liber de natura rerum, version Thomas III"
zoo68,VINCENTIUS BELVACENSIS,medieval (apres 700 ap. J.-C.),1l.xml,latin,"Speculum naturale, version SM trifaria"
zoo69,PHILO ALEXANDRINUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e_1.xml,anglais,On the Eternity of the World
zoo69,PHILO ALEXANDRINUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,De aeternitate mundi
zoo69,PHILO ALEXANDRINUS,antique (800 av. J.-C. - 300 ap. J.-C.),2e_1.xml,anglais,On Husbandry
zoo69,PHILO ALEXANDRINUS,antique (800 av. J.-C. - 300 ap. J.-C.),2g.xml,grec,De agricultura
zoo69,PHILO ALEXANDRINUS,antique (800 av. J.-C. - 300 ap. J.-C.),3e_1.xml,anglais,Concerning Noah's Work as a Planter
zoo69,PHILO ALEXANDRINUS,antique (800 av. J.-C. - 300 ap. J.-C.),3g.xml,grec,De plantatione
zoo69,PHILO ALEXANDRINUS,antique (800 av. J.-C. - 300 ap. J.-C.),4e_1.xml,anglais,On Dreams
zoo69,PHILO ALEXANDRINUS,antique (800 av. J.-C. - 300 ap. J.-C.),4g.xml,grec,"De somniis, lib. i-ii"
zoo70,PHILOUMENOS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,De venenatis animalibus eorumque remediis
zoo71,PHYSIOLOGUS,tardo-antique (300 - 700 ap. J.-C.),1g.xml,grec,Physiologus grec R1
zoo71,PHYSIOLOGUS,tardo-antique (300 - 700 ap. J.-C.),2g.xml,grec,"Physiologus grec R2, rédaction byzantine"
zoo71,PHYSIOLOGUS,tardo-antique (300 - 700 ap. J.-C.),3g.xml,grec,"Physiologus grec R3, rédaction byzantine"
zoo75,PHYSIOLOGUS LATINUS B,tardo-antique (300 - 700 ap. J.-C.),1l.xml,latin,Physiologus latinus b
zoo75,PHYSIOLOGUS LATINUS B,tardo-antique (300 - 700 ap. J.-C.),1l_2.xml,latin,"Bestiario latino, Versio B-Is"
zoo77,PHYSIOLOGUS LATINUS Y,tardo-antique (300 - 700 ap. J.-C.),1l.xml,latin,Physiologus latinus y
