"Identifiant";"Auteur";"Titre";"Langue";"Source";"Taille";"Chemin complet"
"tlg003";"";"tlg0032.tlg003.perseus-grc1_translated";"latin";"Perseus";"496.9 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0032/tlg003/tlg0032.tlg003.perseus-grc1_translated.xml"
"tlg013";"";"tlg0032.tlg013.perseus-grc1_translated";"latin";"Perseus";"197.2 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0032/tlg013/tlg0032.tlg013.perseus-grc1_translated.xml"
"tlg012";"";"tlg0032.tlg012.perseus-grc1_translated";"latin";"Perseus";"170.9 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0032/tlg012/tlg0032.tlg012.perseus-grc1_translated.xml"
"tlg0553";"";"tlg0553.tlg001.1st1K-grc1_translated";"latin";"1st1K";"1755.5 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0553/tlg0553.tlg001.1st1K-grc1_translated.xml"
"tlg0627";"";"tlg0627.tlg005.perseus-grc1_translated";"latin";"Perseus";"151.7 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0627/tlg0627.tlg005.perseus-grc1_translated.xml"
"tlg010";"";"tlg0057.tlg010.perseus-grc1_translated";"latin";"Perseus";"820.9 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0057/tlg010/tlg0057.tlg010.perseus-grc1_translated.xml"
"tlg019";"";"tlg0018.tlg019.opp-grc1_translated";"latin";"OPP";"1071.7 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0018/tlg019/tlg0018.tlg019.opp-grc1_translated.xml"
"tlg029";"";"tlg0018.tlg029.opp-grc1_translated";"latin";"OPP";"505.1 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0018/tlg029/tlg0018.tlg029.opp-grc1_translated.xml"
"tlg010";"";"tlg0018.tlg010.opp-grc1_translated";"latin";"OPP";"385.1 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0018/tlg010/tlg0018.tlg010.opp-grc1_translated.xml"
"tlg009";"";"tlg0018.tlg009.opp-grc1_translated";"latin";"OPP";"397.0 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0018/tlg009/tlg0018.tlg009.opp-grc1_translated.xml"
"tlg001";"";"tlg0060.tlg001.perseus-grc1_translated";"latin";"Perseus";"3518.9 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0060/tlg001/tlg0060.tlg001.perseus-grc1_translated.xml"
"tlg001";"";"tlg0060.tlg001.perseus-grc3_translated";"latin";"Perseus";"5497.6 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0060/tlg001/tlg0060.tlg001.perseus-grc3_translated.xml"
"tlg001";"";"tlg0060.tlg001.perseus-grc2_translated";"latin";"Perseus";"2400.0 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0060/tlg001/tlg0060.tlg001.perseus-grc2_translated.xml"
"tlg0096";"";"tlg0096.tlg002.First1K-grc1_translated";"latin";"";"1170.2 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0096/tlg0096.tlg002.First1K-grc1_translated.xml"
"tlg027";"";"tlg0062.tlg027.perseus-grc1_translated";"latin";"Perseus";"46.9 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0062/tlg027/tlg0062.tlg027.perseus-grc1_translated.xml"
"tlg027";"";"tlg0062.tlg027.perseus-grc2_translated";"latin";"Perseus";"57.3 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0062/tlg027/tlg0062.tlg027.perseus-grc2_translated.xml"
"tlg054";"";"Perseus_text_2008.01.0512_translated";"latin";"";"24.1 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0062/tlg054/Perseus_text_2008.01.0512_translated.xml"
"tlg054";"";"tlg0062.tlg054.perseus-grc1_translated";"latin";"Perseus";"25.3 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0062/tlg054/tlg0062.tlg054.perseus-grc1_translated.xml"
"tlg001";"";"tlg0024.tlg001.perseus-grc1_translated";"latin";"Perseus";"586.5 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0024/tlg001/tlg0024.tlg001.perseus-grc1_translated.xml"
"tlg0008";"";"tlg0008.tlg001.perseus-grc3_not_annotated_translated";"latin";"Perseus";"11002.4 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0008/tlg0008.tlg001.perseus-grc3_not_annotated_translated.xml"
"tlg0008";"";"tlg0008.tlg001.perseus-grc4_annotated_translated";"latin";"Perseus";"11273.8 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0008/tlg0008.tlg001.perseus-grc4_annotated_translated.xml"
"phi0845";"";"phi0845.phi002.perseus-lat1_translated";"latin";"Perseus";"1324.9 Ko";"./Named_entity_recognition/_old_file/data/translated_files/phi0845/phi0845.phi002.perseus-lat1_translated.xml"
"phi0845";"";"phi0845.phi002.perseus-lat2_translated";"latin";"Perseus";"1383.2 Ko";"./Named_entity_recognition/_old_file/data/translated_files/phi0845/phi0845.phi002.perseus-lat2_translated.xml"
"tlg132";"";"tlg0007.tlg132.perseus-grc1_translated";"latin";"Perseus";"39.2 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0007/tlg132/tlg0007.tlg132.perseus-grc1_translated.xml"
"tlg130";"";"tlg0007.tlg130.perseus-grc1_translated";"latin";"Perseus";"100.0 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0007/tlg130/tlg0007.tlg130.perseus-grc1_translated.xml"
"tlg125";"";"tlg0007.tlg125.perseus-grc1_translated";"latin";"Perseus";"138.7 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0007/tlg125/tlg0007.tlg125.perseus-grc1_translated.xml"
"tlg098";"";"tlg0007.tlg098.perseus-grc1_translated";"latin";"Perseus";"101.8 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0007/tlg098/tlg0007.tlg098.perseus-grc1_translated.xml"
"tlg129";"";"tlg0007.tlg129.perseus-grc1_translated";"latin";"Perseus";"348.2 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0007/tlg129/tlg0007.tlg129.perseus-grc1_translated.xml"
"tlg0086";"";"__cts___translated";"latin";"";"0.2 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0086/__cts___translated.xml"
"tlg018";"";"tlg0086.tlg018.1st1K-grc1_translated";"latin";"1st1K";"50.8 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0086/tlg018/tlg0086.tlg018.1st1K-grc1_translated.xml"
"tlg014";"";"tlg0086.tlg014.1st1K-grc1_translated";"latin";"1st1K";"2561.5 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0086/tlg014/tlg0086.tlg014.1st1K-grc1_translated.xml"
"tlg029";"";"tlg0086.tlg029.perseus-grc1_translated";"latin";"Perseus";"169.9 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0086/tlg029/tlg0086.tlg029.perseus-grc1_translated.xml"
"tlg037";"";"tlg0086.tlg037.1st1K-grc1_translated";"latin";"1st1K";"170.6 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0086/tlg037/tlg0086.tlg037.1st1K-grc1_translated.xml"
"tlg030";"";"tlg0086.tlg030.1st1K-grc1_translated";"latin";"1st1K";"1057.5 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0086/tlg030/tlg0086.tlg030.1st1K-grc1_translated.xml"
"tlg041";"";"tlg0086.tlg041.1st1K-grc1_translated";"latin";"1st1K";"214.2 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0086/tlg041/tlg0086.tlg041.1st1K-grc1_translated.xml"
"tlg003";"";"tlg0074.tlg003.perseus-grc1_translated";"latin";"Perseus";"1031.5 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0074/tlg003/tlg0074.tlg003.perseus-grc1_translated.xml"
