id,auteur_id,titre_original,titre_francais,titre_anglais,langue_originale,dans_classeur_lea,original_sur_git,traduction_sur_git
82,57,Κυνηγετικά,L’art de la chasse,On Hunting,grec,Oui,Oui,Oui
83,28,Αλεξιφάρμακα,Les Alexipharmaques,Alexipharmaca,grec,Oui,Oui,Non
84,58,Liber de animalibus,Livre des animaux,Book of Animals,latin,Oui,Oui,Non
85,59,Physiologus Theobaldi,Physiologus métrique,Metrical Physiologus,latin,Oui,Oui,Non
86,24,—,Du régime des maladies aiguës (spuria),On Regim (spurious),grec,Oui,Oui,Non
87,60,Liber similitudinum naturalium,Liber similitudinum naturalium,Liber similitudinum naturalium,latin,Non,Oui,Non
88,61,Tractatus de naturis animalium,Tractatus de naturis animalium,Tractatus de naturis animalium,latin,Non,Oui,Non
89,62,Hortus sanitatis,Hortus sanitatis,Hortus sanitatis,latin,Non,Oui,Non
90,63,Historia naturalis,Historia naturalis,Historia naturalis,latin,Non,Oui,Non
91,64,Summa de exemplis,Summa de exemplis,Summa de exemplis,latin,Non,Oui,Non
92,65,Tractatus septiformis,Tractatus septiformis,Tractatus septiformis,latin,Non,Oui,Non
93,66,Liber de natura rerum (version I-II),Liber de natura rerum (version I-II),Liber de natura rerum (version I-II),latin,Non,Oui,Non
94,67,Liber de natura rerum (version III),Liber de natura rerum (version III),Liber de natura rerum (version III),latin,Non,Oui,Non
95,68,Speculum naturale,Speculum naturale,Speculum naturale,latin,Non,Oui,Non
96,69,περί γεωργίας,Sur l'agriculture,On husbandry,grec,Non,Oui,Non
97,69,Περι Φυτουργιας,Sur l'oeuvre de Noe comme planteur,Concerning Noah's Work as a Planter,grec,Non,Oui,Non
98,69,Peri tou theopemptous,Des songes,On dreams,grec,Non,Oui,Non
99,69,Peri aphtharsias kosmou,Sur l'eternite du monde,On the eternity of the world,grec,Non,Oui,Non
100,70,,,,grec,Non,Non,Non
101,71,Physiologus,Physiologus,Physiologus,grec,Non,Non,Non
102,72,Physiologus,Physiologus,Physiologus,grec,Non,Non,Non
103,73,Physiologus,Physiologus,Physiologus,grec,Non,Non,Non
104,74,Physiologus,Physiologus,Physiologus,latin,Non,Non,Non
105,75,Physiologus,Physiologus,Physiologus,latin,Non,Non,Non
106,76,Physiologus,Physiologus,Physiologus,latin,Non,Non,Non
107,77,Physiologus,Physiologus,Physiologus,latin,Non,Non,Non
108,78,,,,grec,Non,Non,Non
109,51,Hippiatrica,Hippiatrica,Hippiatrica,grec,Non,Non,Non
110,54,Peri zoooon,Sur les animaux,On animals,grec,Non,Non,Non
111,58,Liber de animalibus,Livre des animaux,Book of animals,latin,Non,Non,Non
112,79,Physiologus Theobaldi,Physiologus Theobaldi,Physiologus Theobaldi,latin,Non,Non,Non
113,47,Ixeutica,Ixeuticon,Paraphrases on Bird-catching,grec,Non,Non,Non
114,4,Mirabilia,Curiosites de la nature,On marvelous things heard,grec,Non,Non,Non
115,13,Homiliae in Hexaemeron,Homelies sur l'Hexaemeron,Homilies on the Hexaemeron,grec,Non,Non,Non
